,id,price,builtArea,pricePerBuiltSqm,stratum,administrationFee,floor,isDuplex,privateArea,rooms,toilets,parkingSpaces,hasServiceRoom,hasServiceToilet,hasLaundryZone,hasDeposit,hasStudy,isExterior,hasTerrace,terraceArea,hasCommunalHall,hasTennisCourt,hasSoccerField,hasKidsPlayZone,hasGreenZones,isResidentialComplex,hasConcierge,hasVisitorParking,hasPool,long,lat,geometry
4695,7f6e2a03-150c-4727-9ec9-801f46f2d7d6,870000000,265.0,3283018.867924528,6.0,1020000.0,7.125251846877099,False,265.0,3,3,2.0,True,False,True,False,True,True,False,28.139204545454547,False,False,False,True,True,True,True,False,False,-75.56959,6.204875,POINT (-75.56959 6.204875)
4696,7f7b4e9a-85e5-433c-a0c8-d2dfd199f634,880000000,135.0,6518518.518518519,6.0,335000.0,7.125251846877099,False,135.0,3,4,2.0,True,False,True,True,False,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.56646,6.21316,POINT (-75.56646 6.21316)
4697,7f8a3204-2c8d-4de5-9d4a-f899b4628381,180000000,78.0,2307692.3076923075,3.0,2718437.97185619,7.125251846877099,False,78.0,2,1,1.6517575616022422,False,False,False,False,False,False,True,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.55447,6.28308,POINT (-75.55447 6.28308)
4698,7f8f93fc-9201-4a2d-b506-67e7101faefe,205000000,45.0,4555555.555555556,5.0,190000.0,7.0,False,45.0,2,1,1.0,False,False,False,False,False,False,False,28.139204545454547,True,False,False,False,False,False,False,False,True,-75.60243,6.2169952,POINT (-75.60243 6.2169952)
4699,7f92b6e3-c174-495d-8ae4-03de2ae5fcc0,200000000,65.0,3076923.076923077,4.0,2718437.97185619,11.0,False,65.0,3,2,1.6517575616022422,False,False,True,False,True,False,False,28.139204545454547,True,False,False,True,True,True,True,True,True,-75.6047,6.2110257,POINT (-75.6047 6.2110257)
4700,7f960cae-eef7-4960-9872-7cb367417990,660000000,114.0,5789473.684210527,6.0,448000.0,18.0,False,110.0,2,3,2.0,True,False,True,True,True,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.575356,6.210965,POINT (-75.575356 6.210965)
4701,7fa3e282-e481-4b72-8c97-a17c1f7c2e8c,700000000,192.0,3645833.3333333335,6.0,1332000.0,7.125251846877099,False,192.0,3,3,2.0,False,False,False,False,False,False,False,28.139204545454547,False,False,False,True,False,False,True,False,False,-75.55724,6.212011,POINT (-75.55724 6.212011)
4702,7faff6ec-cbe6-4afc-be19-3f0f8870e3e8,265000000,58.0,4568965.517241379,4.0,210000.0,7.125251846877099,False,58.0,2,2,1.0,False,False,True,True,True,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.561226,6.226909,POINT (-75.561226 6.226909)
4703,7fb30c46-4f10-4ced-8737-b6fba15d56a9,2100000000,380.0,5526315.7894736845,6.0,1486000000.0,19.0,True,380.0,3,5,3.0,True,False,True,True,True,True,True,38.0,True,False,False,True,True,True,True,False,True,-75.56797,6.1991353,POINT (-75.56797 6.1991353)
4704,7fc1f5a0-b073-4ab0-a7f2-52da6a9a3f57,515000000,63.0,8174603.174603174,5.0,451000.0,16.0,False,63.0,1,2,1.0,False,False,False,False,False,False,False,28.139204545454547,False,False,False,False,True,False,True,False,False,-75.5888,6.2515936,POINT (-75.5888 6.2515936)
4705,7fc5eeef-9bf8-42d7-a8d7-87b968b74f87,550000000,146.0,3767123.287671233,6.0,450000.0,5.0,False,146.0,3,3,2.0,True,False,True,True,True,True,False,28.139204545454547,False,False,False,True,True,True,True,False,False,-75.56792,6.181876,POINT (-75.56792 6.181876)
4706,7fc71bf9-b3f2-4027-951e-9cecb9bdf8f8,375000000,73.0,5136986.301369863,5.0,235000.0,7.125251846877099,False,73.0,3,2,1.0,False,False,True,True,False,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.560776,6.224148,POINT (-75.560776 6.224148)
4707,7fcbc0cc-826b-4477-ad0a-d675952bad17,685000000,113.0,6061946.902654868,6.0,585000.0,16.0,False,113.0,3,2,2.0,False,False,True,True,True,True,False,28.139204545454547,True,False,False,True,False,True,True,False,True,-75.57924,6.1912255,POINT (-75.57924 6.1912255)
4708,7fccfb51-a93c-4000-9960-208052a41d8d,260000000,80.0,3250000.0,4.0,340000.0,1.0,False,80.0,3,2,1.0,False,False,False,False,False,False,False,28.139204545454547,False,False,False,False,True,False,False,False,False,-75.59922,6.231282,POINT (-75.59922 6.231282)
4709,7fd8639e-0461-4bcd-b6b5-6afa7f087031,1150000000,158.0,7278481.012658228,5.0,2718437.97185619,15.0,False,158.0,3,3,1.0,False,False,True,False,True,True,False,28.139204545454547,True,False,False,False,False,True,True,False,True,-75.56702,6.213044,POINT (-75.56702 6.213044)
4710,7fdb82a3-1341-4953-a7b5-025ca35d3bc3,970000000,190.0,5105263.157894737,6.0,739000.0,16.0,False,190.0,4,5,2.0,True,False,True,True,True,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.57442,6.182147,POINT (-75.57442 6.182147)
4711,7ff2fe6a-91cf-42a2-ade3-4514d36c20c2,195000000,64.0,3046875.0,4.0,2718437.97185619,12.0,False,64.0,3,2,1.6517575616022422,False,False,False,False,False,False,False,28.139204545454547,True,False,False,True,True,True,True,True,False,-75.5609,6.2525296,POINT (-75.5609 6.2525296)
4712,7ffa8784-d08d-4439-8a92-fc69ecca6e60,720000000,162.0,4444444.444444444,6.0,478000.0,4.0,False,162.0,3,5,2.0,True,False,True,False,True,False,False,28.139204545454547,True,False,False,True,True,False,True,False,True,-75.55871,6.1997857,POINT (-75.55871 6.1997857)
